id,date,month,category,region,channel,quantity,amount
27807,2025-04-12,apr,groceries,north,online,3,139.22
27808,2025-04-02,apr,coffee,south,online,5,3.39
27809,2025-04-09,apr,utilities,north,online,1,187.94
27810,2025-04-08,apr,groceries,south,online,1,214.53
27811,2025-04-16,apr,groceries,south,in_store,1,110.77
27812,2025-04-18,apr,groceries,north,in_store,3,162.05
27813,2025-04-15,apr,dining,east,in_store,1,124.30
27814,2025-04-29,apr,groceries,west,online,5,186.18
27815,2025-04-03,apr,utilities,east,in_store,5,417.12
27816,2025-04-27,apr,utilities,west,online,1,302.54
27817,2025-04-18,apr,groceries,west,online,1,132.24
27818,2025-04-21,apr,dining,east,online,1,82.78
27819,2025-04-01,apr,utilities,west,in_store,4,377.30
27820,2025-04-29,apr,groceries,west,online,2,80.96
27821,2025-04-20,apr,groceries,north,online,2,216.00
27822,2025-04-20,apr,dining,west,online,4,112.64
27823,2025-04-15,apr,coffee,west,in_store,1,6.13
27824,2025-04-22,apr,coffee,south,online,1,4.80
27825,2025-04-06,apr,utilities,east,online,4,311.70
27826,2025-04-10,apr,dining,south,online,3,103.67
27827,2025-04-02,apr,utilities,east,in_store,2,419.89
27828,2025-04-18,apr,groceries,west,online,1,49.33
27829,2025-04-18,apr,groceries,north,online,4,156.32
27830,2025-04-09,apr,coffee,east,online,4,12.47
27831,2025-04-06,apr,groceries,east,online,4,186.75
27832,2025-04-20,apr,coffee,west,online,3,11.26
27833,2025-04-26,apr,dining,north,online,3,137.24
27834,2025-04-07,apr,groceries,south,online,3,55.68
27835,2025-04-17,apr,coffee,north,in_store,1,4.36
27836,2025-04-25,apr,groceries,east,in_store,2,205.36
27837,2025-04-10,apr,groceries,west,in_store,2,124.73
27838,2025-04-09,apr,coffee,east,online,2,9.76
27839,2025-04-12,apr,groceries,east,in_store,1,90.16
27840,2025-04-15,apr,transport,south,in_store,1,43.90
27841,2025-04-04,apr,dining,north,online,1,112.14
27842,2025-04-13,apr,coffee,south,in_store,2,8.52
27843,2025-04-02,apr,groceries,south,online,2,100.38
27844,2025-04-08,apr,groceries,south,in_store,5,162.45
27845,2025-04-11,apr,utilities,south,online,3,206.14
27846,2025-04-25,apr,dining,east,online,2,53.16
27847,2025-04-06,apr,transport,north,in_store,3,54.61
27848,2025-04-28,apr,utilities,east,in_store,1,127.37
27849,2025-04-08,apr,groceries,east,in_store,1,41.52
27850,2025-04-07,apr,groceries,north,online,2,172.32
27851,2025-04-17,apr,groceries,west,in_store,5,143.61
27852,2025-04-25,apr,transport,west,in_store,3,53.86
27853,2025-04-19,apr,groceries,north,in_store,2,134.40
27854,2025-04-10,apr,coffee,north,online,4,7.26
27855,2025-04-18,apr,travel,west,in_store,4,473.21
27856,2025-04-27,apr,groceries,west,in_store,5,216.70
27857,2025-04-30,apr,coffee,west,online,2,4.06
27858,2025-04-22,apr,rent,west,in_store,4,1775.24
27859,2025-04-10,apr,coffee,west,online,3,5.89
27860,2025-04-18,apr,groceries,south,online,2,66.64
27861,2025-04-18,apr,coffee,east,in_store,5,6.14
27862,2025-04-08,apr,groceries,south,in_store,3,107.95
27863,2025-04-16,apr,coffee,west,in_store,5,8.71
27864,2025-04-01,apr,groceries,north,online,3,23.56
27865,2025-04-07,apr,coffee,east,online,5,13.15
27866,2025-04-04,apr,transport,east,in_store,1,20.07
27867,2025-04-15,apr,groceries,north,online,2,58.83
27868,2025-04-22,apr,coffee,east,in_store,1,4.84
27869,2025-04-16,apr,groceries,east,in_store,2,85.76
27870,2025-04-11,apr,transport,east,online,3,2.82
27871,2025-04-17,apr,transport,south,in_store,5,14.75
27872,2025-04-12,apr,rent,north,in_store,2,1763.95
27873,2025-04-29,apr,rent,south,online,5,1190.46
27874,2025-04-13,apr,utilities,south,in_store,4,156.61
27875,2025-04-09,apr,dining,north,in_store,5,134.60
27876,2025-04-17,apr,coffee,west,in_store,5,3.28
27877,2025-04-23,apr,groceries,north,in_store,1,198.95
27878,2025-04-30,apr,utilities,east,in_store,4,278.15
27879,2025-04-07,apr,coffee,north,in_store,3,11.54
27880,2025-04-19,apr,groceries,north,in_store,2,123.53
27881,2025-04-25,apr,groceries,west,in_store,1,168.20
27882,2025-04-01,apr,groceries,south,online,5,69.82
27883,2025-04-05,apr,coffee,south,in_store,5,9.21
27884,2025-04-17,apr,dining,west,in_store,2,84.63
27885,2025-04-04,apr,transport,east,in_store,1,54.60
27886,2025-04-25,apr,utilities,east,online,1,121.16
27887,2025-04-21,apr,coffee,east,online,4,13.24
27888,2025-04-01,apr,electronics,south,online,5,231.33
27889,2025-04-28,apr,electronics,south,online,5,2157.26
27890,2025-04-08,apr,dining,west,online,4,74.32
27891,2025-04-12,apr,dining,east,in_store,5,151.49
27892,2025-04-03,apr,groceries,south,in_store,3,105.88
27893,2025-04-20,apr,transport,east,in_store,5,28.23
27894,2025-04-06,apr,dining,west,in_store,5,171.49
27895,2025-04-24,apr,transport,west,online,3,2.41
27896,2025-04-05,apr,dining,north,in_store,5,135.22
27897,2025-04-23,apr,groceries,north,in_store,3,59.97
27898,2025-04-08,apr,groceries,south,in_store,1,69.40
27899,2025-04-07,apr,coffee,west,online,3,4.94
27900,2025-04-26,apr,coffee,east,in_store,1,7.30
27901,2025-04-17,apr,coffee,west,in_store,1,13.63
27902,2025-04-26,apr,groceries,west,in_store,4,22.83
27903,2025-04-15,apr,groceries,south,in_store,5,133.22
27904,2025-04-20,apr,transport,east,online,4,27.67
27905,2025-04-01,apr,groceries,south,in_store,1,101.00
27906,2025-04-26,apr,groceries,east,online,3,52.10
27907,2025-04-30,apr,groceries,south,in_store,1,153.23
27908,2025-04-02,apr,groceries,east,in_store,4,212.83
27909,2025-04-23,apr,electronics,west,in_store,4,1937.57
27910,2025-04-17,apr,rent,south,online,2,1737.13
27911,2025-04-20,apr,coffee,north,online,2,3.93
27912,2025-04-08,apr,groceries,north,online,5,106.28
27913,2025-04-25,apr,groceries,south,online,2,207.77
27914,2025-04-27,apr,groceries,east,in_store,3,210.19
27915,2025-04-28,apr,dining,north,online,4,112.28
27916,2025-04-22,apr,groceries,west,in_store,4,16.80
27917,2025-04-07,apr,transport,north,in_store,4,75.26
27918,2025-04-21,apr,groceries,north,online,4,144.96
27919,2025-04-07,apr,transport,east,in_store,5,91.90
27920,2025-04-05,apr,electronics,north,online,3,372.43
27921,2025-04-10,apr,coffee,east,in_store,3,10.19
27922,2025-04-08,apr,electronics,north,online,1,293.38
27923,2025-04-01,apr,coffee,south,in_store,1,11.98
27924,2025-04-26,apr,coffee,south,online,3,8.96
27925,2025-04-13,apr,groceries,east,online,5,38.62
27926,2025-04-25,apr,groceries,south,online,1,104.21
27927,2025-04-15,apr,electronics,east,online,3,771.90
27928,2025-04-10,apr,travel,north,in_store,4,1793.23
27929,2025-04-21,apr,groceries,east,in_store,1,43.45
27930,2025-04-30,apr,groceries,east,in_store,4,165.81
27931,2025-04-07,apr,electronics,south,in_store,5,1849.27
27932,2025-04-13,apr,electronics,south,online,3,2129.38
27933,2025-04-08,apr,coffee,south,online,5,5.90
27934,2025-04-20,apr,electronics,east,in_store,2,1186.25
27935,2025-04-04,apr,groceries,south,in_store,4,38.33
27936,2025-04-10,apr,groceries,south,in_store,5,137.83
27937,2025-04-29,apr,coffee,east,in_store,2,7.58
27938,2025-04-11,apr,transport,north,online,5,91.99
27939,2025-04-03,apr,groceries,north,in_store,3,99.92
27940,2025-04-29,apr,groceries,west,in_store,2,174.01
27941,2025-04-12,apr,travel,south,in_store,2,758.63
27942,2025-04-05,apr,groceries,west,online,4,137.07
27943,2025-04-25,apr,groceries,north,online,4,209.70
27944,2025-04-02,apr,rent,east,in_store,1,2338.49
27945,2025-04-04,apr,transport,west,in_store,3,78.75
27946,2025-04-26,apr,groceries,east,in_store,4,14.52
27947,2025-04-28,apr,coffee,north,in_store,2,7.41
27948,2025-04-21,apr,coffee,east,online,1,11.71
27949,2025-04-30,apr,utilities,north,online,1,406.79
27950,2025-04-27,apr,coffee,east,in_store,5,10.92
27951,2025-04-26,apr,groceries,south,in_store,2,152.86
27952,2025-04-23,apr,electronics,south,online,3,1635.37
27953,2025-04-21,apr,groceries,west,in_store,1,201.30
27954,2025-04-18,apr,rent,north,in_store,1,2336.85
27955,2025-04-23,apr,electronics,north,online,4,1180.06
27956,2025-04-15,apr,coffee,south,in_store,1,7.26
27957,2025-04-23,apr,transport,north,in_store,1,32.87
27958,2025-04-29,apr,groceries,south,online,1,20.83
27959,2025-04-04,apr,travel,west,online,3,3227.74
27960,2025-04-07,apr,electronics,east,in_store,3,2284.37
27961,2025-04-02,apr,groceries,north,in_store,2,48.96
27962,2025-04-18,apr,dining,north,online,4,46.02
27963,2025-04-21,apr,utilities,west,online,1,105.87
27964,2025-04-21,apr,coffee,south,online,3,4.23
27965,2025-04-11,apr,utilities,west,online,5,318.15
27966,2025-04-20,apr,coffee,north,in_store,2,12.58
27967,2025-04-01,apr,groceries,north,online,1,126.71
27968,2025-04-07,apr,coffee,west,online,2,7.35
27969,2025-04-30,apr,utilities,north,online,2,256.16
27970,2025-04-24,apr,groceries,south,online,3,214.06
27971,2025-04-06,apr,coffee,east,in_store,5,6.17
27972,2025-04-07,apr,groceries,north,online,3,176.74
27973,2025-04-08,apr,transport,north,online,1,48.54
27974,2025-04-08,apr,utilities,east,online,5,245.02
27975,2025-04-14,apr,rent,west,online,1,1830.96
27976,2025-04-20,apr,coffee,east,online,5,8.81
27977,2025-04-10,apr,utilities,north,online,4,418.31
27978,2025-04-26,apr,coffee,east,in_store,2,3.58
27979,2025-04-12,apr,transport,west,in_store,3,29.95
27980,2025-04-28,apr,transport,north,online,4,37.98
27981,2025-04-25,apr,electronics,west,in_store,2,1674.95
27982,2025-04-03,apr,coffee,south,in_store,5,6.59
27983,2025-04-18,apr,transport,south,online,5,63.73
27984,2025-04-28,apr,groceries,west,online,5,68.72
27985,2025-04-22,apr,dining,west,online,5,147.81
27986,2025-04-12,apr,groceries,north,online,4,85.30
27987,2025-04-24,apr,groceries,south,in_store,3,86.05
27988,2025-04-06,apr,transport,west,online,1,28.31
27989,2025-04-09,apr,transport,west,online,4,26.27
27990,2025-04-02,apr,transport,south,in_store,4,51.87
27991,2025-04-22,apr,travel,west,in_store,1,1031.35
27992,2025-04-28,apr,groceries,east,online,1,163.18
27993,2025-04-04,apr,coffee,north,online,3,11.46
27994,2025-04-07,apr,dining,north,in_store,5,37.45
27995,2025-04-23,apr,coffee,south,in_store,1,7.76
27996,2025-04-20,apr,groceries,west,in_store,3,12.91
27997,2025-04-29,apr,electronics,south,online,5,2361.94
27998,2025-04-22,apr,travel,east,in_store,5,3751.87
27999,2025-04-07,apr,dining,north,in_store,2,115.56
28000,2025-04-02,apr,dining,south,in_store,1,68.83
28001,2025-04-17,apr,electronics,west,online,2,629.79
28002,2025-04-27,apr,utilities,south,online,1,96.74
28003,2025-04-22,apr,groceries,west,in_store,2,165.00
28004,2025-04-26,apr,electronics,north,in_store,2,2027.54
28005,2025-04-25,apr,coffee,east,in_store,2,12.95
28006,2025-04-28,apr,coffee,west,in_store,3,9.49
28007,2025-04-17,apr,utilities,north,in_store,2,265.50
28008,2025-04-15,apr,coffee,north,in_store,1,7.48
28009,2025-04-09,apr,dining,north,online,4,121.09
28010,2025-04-30,apr,coffee,east,online,5,12.21
28011,2025-04-25,apr,coffee,west,in_store,1,9.23
28012,2025-04-22,apr,coffee,west,online,4,12.43
28013,2025-04-26,apr,transport,east,in_store,2,33.89
28014,2025-04-04,apr,dining,south,online,5,94.07
28015,2025-04-02,apr,dining,west,online,4,72.68
28016,2025-04-11,apr,coffee,east,in_store,3,11.35
28017,2025-04-23,apr,coffee,west,online,3,3.26
28018,2025-04-01,apr,coffee,east,in_store,1,8.49
28019,2025-04-03,apr,utilities,south,online,2,403.00
28020,2025-04-22,apr,electronics,north,in_store,4,507.24
28021,2025-04-25,apr,transport,north,online,1,33.51
28022,2025-04-25,apr,utilities,south,online,1,175.77
28023,2025-04-18,apr,coffee,south,online,4,7.26
28024,2025-04-21,apr,groceries,east,in_store,5,16.80
28025,2025-04-22,apr,coffee,west,in_store,4,3.93
28026,2025-04-06,apr,coffee,north,in_store,3,3.13
28027,2025-04-29,apr,utilities,west,in_store,4,309.39
28028,2025-04-30,apr,dining,east,online,5,19.56
28029,2025-04-22,apr,groceries,north,online,5,86.52
28030,2025-04-14,apr,coffee,south,online,1,9.58
28031,2025-04-15,apr,transport,south,in_store,4,78.15
28032,2025-04-02,apr,electronics,north,online,4,680.00
28033,2025-04-03,apr,coffee,south,in_store,5,12.37
28034,2025-04-19,apr,dining,north,in_store,3,20.75
28035,2025-04-28,apr,coffee,north,online,2,12.86
28036,2025-04-01,apr,utilities,west,online,1,303.88
28037,2025-04-28,apr,coffee,south,online,2,10.53
28038,2025-04-09,apr,groceries,south,in_store,1,91.56
28039,2025-04-30,apr,groceries,north,in_store,2,90.98
28040,2025-04-25,apr,utilities,east,online,3,281.64
28041,2025-04-23,apr,utilities,west,in_store,5,345.75
28042,2025-04-11,apr,utilities,west,online,4,178.18
28043,2025-04-07,apr,transport,south,in_store,4,57.65
28044,2025-04-03,apr,groceries,north,online,5,13.19
28045,2025-04-02,apr,groceries,south,in_store,2,74.92
28046,2025-04-25,apr,electronics,west,in_store,2,1459.47
28047,2025-04-22,apr,groceries,east,online,1,37.89
28048,2025-04-22,apr,coffee,east,online,5,11.67
28049,2025-04-08,apr,transport,south,in_store,1,3.70
28050,2025-04-27,apr,coffee,east,online,2,8.33
28051,2025-04-14,apr,transport,west,in_store,4,37.51
28052,2025-04-22,apr,groceries,north,online,3,122.41
28053,2025-04-04,apr,transport,west,in_store,5,28.94
28054,2025-04-10,apr,groceries,south,online,5,10.14
28055,2025-04-28,apr,coffee,south,in_store,4,3.93
28056,2025-04-11,apr,groceries,north,online,1,169.08
28057,2025-04-22,apr,groceries,west,online,3,213.76
28058,2025-04-26,apr,coffee,east,in_store,5,6.28
28059,2025-04-04,apr,utilities,west,in_store,2,330.82
28060,2025-04-28,apr,utilities,east,online,5,273.70
28061,2025-04-27,apr,coffee,west,in_store,2,11.22
28062,2025-04-05,apr,coffee,west,online,3,7.71
28063,2025-04-11,apr,groceries,north,online,5,20.38
28064,2025-04-14,apr,electronics,east,in_store,3,1869.86
28065,2025-04-09,apr,coffee,west,in_store,1,11.48
28066,2025-04-03,apr,transport,south,in_store,5,41.12
28067,2025-04-21,apr,rent,north,online,5,1341.44
28068,2025-04-18,apr,groceries,east,online,1,138.79
28069,2025-04-21,apr,electronics,south,online,1,1291.51
28070,2025-04-12,apr,groceries,south,online,3,16.65
28071,2025-04-11,apr,electronics,west,online,1,1421.49
28072,2025-04-28,apr,groceries,south,online,5,122.37
28073,2025-04-25,apr,dining,north,online,5,43.92
28074,2025-04-22,apr,travel,south,in_store,4,811.03
28075,2025-04-28,apr,electronics,north,in_store,3,1023.60
28076,2025-04-10,apr,transport,east,online,3,20.68
28077,2025-04-21,apr,electronics,south,in_store,2,906.11
28078,2025-04-15,apr,dining,north,online,5,74.13
28079,2025-04-17,apr,dining,west,in_store,5,64.63
28080,2025-04-29,apr,dining,north,in_store,2,179.21
28081,2025-04-03,apr,groceries,north,in_store,5,145.16
28082,2025-04-25,apr,groceries,east,in_store,2,169.73
28083,2025-04-25,apr,groceries,east,online,5,110.89
28084,2025-04-03,apr,transport,east,online,5,76.89
28085,2025-04-11,apr,groceries,east,in_store,3,206.48
28086,2025-04-02,apr,groceries,north,in_store,5,126.20
28087,2025-04-25,apr,groceries,east,in_store,3,191.34
28088,2025-04-19,apr,dining,south,in_store,3,164.92
28089,2025-04-22,apr,utilities,west,online,3,203.01
28090,2025-04-20,apr,groceries,west,in_store,4,12.81
28091,2025-04-07,apr,dining,west,online,1,26.65
28092,2025-04-21,apr,utilities,west,online,4,258.79
28093,2025-04-28,apr,coffee,west,online,3,11.43
28094,2025-04-08,apr,transport,north,in_store,4,40.77
28095,2025-04-16,apr,transport,east,in_store,5,67.55
28096,2025-04-27,apr,dining,south,in_store,2,107.51
28097,2025-04-13,apr,utilities,east,in_store,5,398.14
28098,2025-04-11,apr,utilities,north,online,3,215.33
28099,2025-04-19,apr,coffee,west,online,3,12.90
28100,2025-04-18,apr,groceries,east,in_store,4,152.97
28101,2025-04-03,apr,groceries,south,in_store,2,196.85
28102,2025-04-20,apr,electronics,south,online,3,1661.01
28103,2025-04-25,apr,coffee,east,online,1,7.33
28104,2025-04-23,apr,travel,west,online,1,1735.25
28105,2025-04-20,apr,groceries,west,online,1,108.94
28106,2025-04-04,apr,electronics,west,online,1,809.54
28107,2025-04-24,apr,groceries,east,in_store,2,29.70
28108,2025-04-29,apr,groceries,south,online,3,124.83
28109,2025-04-13,apr,utilities,north,in_store,1,305.01
28110,2025-04-29,apr,groceries,west,in_store,1,200.22
28111,2025-04-27,apr,dining,west,online,4,167.39
28112,2025-04-09,apr,electronics,east,online,4,2059.79
28113,2025-04-21,apr,groceries,south,in_store,3,147.40
28114,2025-04-03,apr,transport,south,online,3,76.01
28115,2025-04-13,apr,dining,west,in_store,3,13.31
28116,2025-04-08,apr,utilities,south,online,1,174.72
28117,2025-04-22,apr,coffee,east,in_store,2,12.66
28118,2025-04-04,apr,transport,east,online,4,85.49
28119,2025-04-19,apr,coffee,south,online,1,11.86
28120,2025-04-18,apr,groceries,south,online,1,168.74
28121,2025-04-26,apr,dining,east,online,5,142.00
28122,2025-04-08,apr,travel,south,in_store,3,1012.32
28123,2025-04-05,apr,utilities,west,in_store,2,273.83
28124,2025-04-04,apr,transport,north,in_store,2,87.22
28125,2025-04-22,apr,coffee,south,online,3,9.85
28126,2025-04-03,apr,coffee,south,online,5,8.83
28127,2025-04-15,apr,coffee,west,in_store,5,8.04
28128,2025-04-22,apr,coffee,east,online,4,8.98
28129,2025-04-05,apr,groceries,east,online,4,190.16
28130,2025-04-13,apr,dining,south,in_store,1,155.70
28131,2025-04-23,apr,utilities,south,online,3,136.49
28132,2025-04-11,apr,electronics,east,in_store,4,1551.57
28133,2025-04-22,apr,coffee,east,online,5,9.74
28134,2025-04-03,apr,transport,north,in_store,3,20.48
28135,2025-04-05,apr,coffee,west,online,4,6.11
28136,2025-04-07,apr,coffee,north,online,4,8.63
28137,2025-04-28,apr,electronics,south,online,4,596.72
28138,2025-04-05,apr,coffee,west,online,2,3.50
28139,2025-04-16,apr,groceries,north,in_store,5,140.24
28140,2025-04-27,apr,travel,west,in_store,3,1278.26
28141,2025-04-13,apr,transport,west,online,5,53.80
28142,2025-04-05,apr,groceries,north,online,4,163.51
28143,2025-04-29,apr,coffee,north,online,4,7.65
28144,2025-04-11,apr,groceries,west,in_store,4,218.84
28145,2025-04-11,apr,transport,south,in_store,2,74.91
28146,2025-04-29,apr,transport,south,in_store,2,14.91
28147,2025-04-06,apr,groceries,east,in_store,1,211.84
28148,2025-04-15,apr,coffee,west,in_store,1,10.19
28149,2025-04-04,apr,electronics,west,online,3,1674.98
28150,2025-04-16,apr,transport,east,online,5,20.41
28151,2025-04-06,apr,coffee,north,online,5,12.23
28152,2025-04-15,apr,coffee,east,in_store,3,7.87
28153,2025-04-12,apr,coffee,west,in_store,5,3.58
28154,2025-04-09,apr,groceries,north,in_store,3,152.78
28155,2025-04-22,apr,groceries,west,in_store,2,151.91
28156,2025-04-19,apr,transport,west,online,5,12.16
28157,2025-04-16,apr,groceries,south,in_store,4,92.38
28158,2025-04-09,apr,electronics,west,online,5,1379.70
28159,2025-04-27,apr,transport,south,online,3,92.63
28160,2025-04-17,apr,electronics,south,in_store,1,40.97
28161,2025-04-19,apr,groceries,west,in_store,2,92.20
28162,2025-04-26,apr,groceries,east,online,2,70.66
28163,2025-04-02,apr,groceries,south,online,2,108.37
28164,2025-04-08,apr,coffee,west,in_store,3,7.53
28165,2025-04-30,apr,transport,west,in_store,4,83.26
28166,2025-04-25,apr,travel,west,in_store,1,1601.02
28167,2025-04-17,apr,groceries,south,online,2,38.70
28168,2025-04-07,apr,transport,west,in_store,5,85.53
28169,2025-04-22,apr,coffee,east,in_store,2,8.52
28170,2025-04-07,apr,groceries,east,online,1,207.52
28171,2025-04-26,apr,coffee,west,online,2,3.35
28172,2025-04-02,apr,rent,west,online,5,1238.82
28173,2025-04-04,apr,electronics,north,in_store,3,1607.11
28174,2025-04-05,apr,dining,south,online,1,170.53
28175,2025-04-22,apr,dining,south,online,1,38.25
28176,2025-04-01,apr,coffee,west,in_store,1,3.31
28177,2025-04-14,apr,utilities,west,online,1,105.70
28178,2025-04-29,apr,groceries,north,online,3,170.43
28179,2025-04-02,apr,groceries,south,in_store,3,38.40
28180,2025-04-04,apr,groceries,south,in_store,1,38.97
28181,2025-04-08,apr,transport,north,online,3,39.02
28182,2025-04-05,apr,dining,west,in_store,4,145.84
28183,2025-04-15,apr,groceries,east,online,5,9.22
28184,2025-04-12,apr,dining,south,in_store,3,118.80
28185,2025-04-10,apr,coffee,north,in_store,5,9.87
28186,2025-04-27,apr,travel,south,in_store,3,951.74
28187,2025-04-26,apr,coffee,south,in_store,1,13.63
28188,2025-04-22,apr,coffee,west,in_store,3,6.18
28189,2025-04-28,apr,rent,north,in_store,4,1892.06
28190,2025-04-17,apr,transport,west,online,3,15.86
28191,2025-04-30,apr,groceries,south,online,2,142.63
28192,2025-04-08,apr,groceries,south,online,3,217.11
28193,2025-04-27,apr,dining,west,in_store,2,74.19
28194,2025-04-12,apr,groceries,north,in_store,5,105.61
28195,2025-04-23,apr,dining,east,in_store,5,36.79
28196,2025-04-19,apr,dining,south,in_store,2,12.90
28197,2025-04-07,apr,groceries,south,in_store,5,174.40
28198,2025-04-03,apr,dining,west,in_store,2,136.29
28199,2025-04-11,apr,transport,west,in_store,4,22.63
28200,2025-04-15,apr,groceries,east,online,3,118.21
28201,2025-04-06,apr,transport,north,in_store,2,25.73
28202,2025-04-21,apr,coffee,east,in_store,5,11.42
28203,2025-04-19,apr,transport,west,in_store,1,7.32
28204,2025-04-22,apr,coffee,west,in_store,2,6.93
28205,2025-04-29,apr,groceries,west,in_store,5,89.59
28206,2025-04-14,apr,transport,west,in_store,5,20.53
28207,2025-04-10,apr,utilities,north,in_store,1,296.02
28208,2025-04-20,apr,dining,east,online,2,50.59
28209,2025-04-12,apr,groceries,west,in_store,1,163.32
28210,2025-04-01,apr,coffee,north,in_store,2,3.24
28211,2025-04-23,apr,electronics,west,online,3,1328.87
28212,2025-04-08,apr,utilities,west,online,5,277.73
28213,2025-04-22,apr,groceries,south,online,2,141.51
28214,2025-04-28,apr,dining,south,in_store,1,51.02
28215,2025-04-29,apr,groceries,south,in_store,1,128.26
28216,2025-04-30,apr,transport,north,in_store,4,87.04
28217,2025-04-11,apr,coffee,north,online,1,13.36
28218,2025-04-16,apr,electronics,south,in_store,2,2094.15
28219,2025-04-16,apr,dining,south,in_store,4,111.24
28220,2025-04-06,apr,transport,east,online,2,52.73
28221,2025-04-18,apr,coffee,south,online,3,9.42
28222,2025-04-17,apr,transport,west,in_store,5,36.56
28223,2025-04-21,apr,coffee,east,in_store,1,7.31
28224,2025-04-30,apr,electronics,north,in_store,4,186.06
28225,2025-04-14,apr,coffee,north,online,4,3.56
28226,2025-04-14,apr,dining,north,in_store,4,29.14
28227,2025-04-08,apr,utilities,south,online,4,320.20
28228,2025-04-30,apr,coffee,west,online,1,3.62
28229,2025-04-24,apr,transport,east,in_store,3,40.58
28230,2025-04-30,apr,transport,south,in_store,5,56.53
28231,2025-04-10,apr,utilities,west,in_store,2,346.16
28232,2025-04-17,apr,transport,north,in_store,4,93.36
28233,2025-04-29,apr,coffee,east,online,3,10.97
28234,2025-04-11,apr,coffee,east,in_store,2,7.22
28235,2025-04-18,apr,groceries,west,online,5,37.15
28236,2025-04-15,apr,coffee,south,in_store,2,5.75
28237,2025-04-10,apr,dining,north,online,3,62.87
28238,2025-04-22,apr,dining,west,in_store,3,123.15
28239,2025-04-30,apr,groceries,west,in_store,4,218.55
28240,2025-04-20,apr,groceries,north,in_store,4,194.20
28241,2025-04-25,apr,groceries,south,online,5,41.18
28242,2025-04-01,apr,groceries,south,online,1,19.97
28243,2025-04-09,apr,groceries,east,in_store,1,31.99
28244,2025-04-23,apr,travel,north,online,1,474.71
28245,2025-04-25,apr,groceries,west,online,2,88.51
28246,2025-04-14,apr,groceries,west,in_store,2,54.92
28247,2025-04-10,apr,travel,south,online,4,3238.10
28248,2025-04-03,apr,coffee,west,online,2,5.33
28249,2025-04-16,apr,transport,west,online,2,90.19
28250,2025-04-12,apr,utilities,east,online,2,230.00
28251,2025-04-02,apr,dining,south,in_store,5,122.12
28252,2025-04-15,apr,coffee,west,in_store,4,6.09
28253,2025-04-29,apr,groceries,south,online,5,92.70
28254,2025-04-17,apr,groceries,west,online,1,38.85
28255,2025-04-29,apr,groceries,west,in_store,5,181.13
28256,2025-04-06,apr,groceries,west,in_store,3,212.37
28257,2025-04-30,apr,utilities,south,in_store,5,371.59
28258,2025-04-19,apr,groceries,south,online,4,168.63
28259,2025-04-26,apr,coffee,south,online,1,6.34
28260,2025-04-11,apr,groceries,north,in_store,4,26.46
28261,2025-04-29,apr,coffee,north,online,4,3.70
28262,2025-04-30,apr,groceries,east,in_store,4,143.22
28263,2025-04-28,apr,groceries,east,in_store,2,127.27
28264,2025-04-26,apr,coffee,east,in_store,3,12.09
28265,2025-04-23,apr,coffee,south,online,4,9.65
28266,2025-04-11,apr,electronics,south,in_store,2,208.60
28267,2025-04-28,apr,coffee,south,in_store,5,6.48
28268,2025-04-14,apr,electronics,east,online,3,855.45
28269,2025-04-02,apr,rent,north,in_store,1,1784.44
28270,2025-04-01,apr,electronics,west,in_store,2,1749.91
28271,2025-04-16,apr,utilities,east,online,2,162.03
28272,2025-04-30,apr,transport,east,online,4,55.36
28273,2025-04-27,apr,transport,east,in_store,5,69.68
28274,2025-04-17,apr,dining,south,online,5,101.80
28275,2025-04-01,apr,coffee,south,online,5,6.19
28276,2025-04-08,apr,transport,east,online,5,69.40
28277,2025-04-01,apr,transport,north,online,4,41.19
28278,2025-04-28,apr,groceries,east,in_store,1,94.10
28279,2025-04-01,apr,groceries,south,in_store,3,62.62
28280,2025-04-21,apr,groceries,east,online,4,50.82
28281,2025-04-23,apr,groceries,south,in_store,5,71.81
28282,2025-04-19,apr,coffee,east,in_store,4,4.47
28283,2025-04-01,apr,groceries,south,online,1,40.28
28284,2025-04-02,apr,groceries,west,in_store,2,124.13
28285,2025-04-16,apr,rent,south,online,3,1571.33
28286,2025-04-20,apr,travel,west,in_store,3,869.85
28287,2025-04-14,apr,dining,west,online,3,165.38
28288,2025-04-04,apr,utilities,west,in_store,4,158.05
28289,2025-04-08,apr,transport,west,in_store,1,21.47
28290,2025-04-06,apr,coffee,south,in_store,1,5.59
28291,2025-04-25,apr,groceries,south,in_store,5,152.88
28292,2025-04-09,apr,groceries,east,online,1,75.38
28293,2025-04-24,apr,transport,south,online,4,26.85
28294,2025-04-01,apr,electronics,south,online,3,156.39
28295,2025-04-29,apr,groceries,east,online,3,207.50
28296,2025-04-10,apr,coffee,south,in_store,3,6.83
28297,2025-04-04,apr,coffee,south,online,3,4.97
28298,2025-04-03,apr,dining,east,online,3,36.97
28299,2025-04-11,apr,coffee,south,in_store,3,9.41
28300,2025-04-20,apr,groceries,east,online,3,16.60
28301,2025-04-09,apr,travel,south,in_store,4,1158.81
28302,2025-04-01,apr,transport,west,in_store,4,68.34
28303,2025-04-05,apr,travel,west,online,1,310.29
28304,2025-04-30,apr,dining,east,online,2,76.88
28305,2025-04-24,apr,coffee,south,in_store,1,7.59
28306,2025-04-20,apr,coffee,east,in_store,5,11.98
28307,2025-04-26,apr,coffee,west,online,5,5.87
28308,2025-04-17,apr,coffee,east,online,1,7.85
